EVENT,ENCODING
Part-Start_I,433.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_215.00,313.0
Position_2/64,195.0
Note-Velocity_22,150.0
Note-On_66,66.0
Note-Duration_14/64,173.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_215.00,313.0
Position_42/64,235.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_21,149.0
Note-On_58,58.0
Note-Duration_7/64,166.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_56/64,249.0
Note-Velocity_25,153.0
Note-On_55,55.0
Note-Duration_6/64,165.0
Rep-End_1,445.0
Part-End_I,438.0
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Tempo-Class_1,258.0
Tempo_97.50,281.0
Note-Velocity_24,152.0
Note-On_58,58.0
Note-Duration_5/64,164.0
Position_8/64,201.0
Note-Velocity_19,147.0
Note-On_62,62.0
Note-Duration_6/64,165.0
Position_15/64,208.0
Note-Velocity_25,153.0
Note-On_68,68.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_24/64,217.0
Note-Velocity_26,154.0
Note-On_70,70.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_191.67,311.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_1/64,194.0
Note-Velocity_25,153.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_11/64,204.0
Note-Velocity_19,147.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_24,152.0
Note-On_66,66.0
Note-Duration_7/64,166.0
Position_25/64,218.0
Note-Velocity_23,151.0
Note-On_64,64.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_23,151.0
Note-On_63,63.0
Note-Duration_6/64,165.0
Position_40/64,233.0
Note-Velocity_20,148.0
Note-On_62,62.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_23,151.0
Note-On_61,61.0
Note-Duration_8/64,167.0
Position_57/64,250.0
Note-Velocity_20,148.0
Note-On_62,62.0
Note-Duration_21/64,180.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_A,331.0
Chord-Type_,346.0
Chord-Slash_A,343.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_32/64,225.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_23,151.0
Note-On_61,61.0
Note-Duration_7/64,166.0
Position_47/64,240.0
Note-Velocity_23,151.0
Note-On_66,66.0
Note-Duration_5/64,164.0
Position_48/64,241.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Position_59/64,252.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Note-Velocity_22,150.0
Note-On_63,63.0
Note-Duration_8/64,167.0
Position_9/64,202.0
Note-Velocity_23,151.0
Note-On_61,61.0
Note-Duration_5/64,164.0
Position_16/64,209.0
Tempo-Class_4,261.0
Tempo_203.33,312.0
Note-Velocity_23,151.0
Note-On_66,66.0
Note-Duration_9/64,168.0
Position_26/64,219.0
