EVENT,ENCODING
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Chord-Tone_E,326.0
Chord-Type_79b13b,379.0
Chord-Slash_E,338.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Position_43/64,236.0
Phrase,393.0
MLU-Type_melody,399.0
Backref-Distance_1,418.0
Note-Velocity_20,148.0
Note-On_44,44.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_50/64,243.0
Note-Velocity_21,149.0
Note-On_42,42.0
Note-Duration_5/64,164.0
Position_59/64,252.0
Note-Velocity_20,148.0
Note-On_44,44.0
Note-Duration_5/64,164.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Chord-Tone_A,331.0
Chord-Type_79b,377.0
Chord-Slash_A,343.0
Position_1/64,194.0
Note-Velocity_19,147.0
Note-On_43,43.0
Note-Duration_11/64,170.0
Position_13/64,206.0
Note-Velocity_21,149.0
Note-On_40,40.0
Note-Duration_9/64,168.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Chord-Tone_A#,332.0
Chord-Type_-7,357.0
Chord-Slash_A#,344.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_143.33,299.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Chord-Tone_A,331.0
Chord-Type_79b,377.0
Chord-Slash_A,343.0
Position_2/64,195.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_20,148.0
Note-On_44,44.0
Note-Duration_10/64,169.0
Position_14/64,207.0
Note-Velocity_23,151.0
Note-On_45,45.0
Note-Duration_4/64,163.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_18/64,211.0
Note-Velocity_22,150.0
Note-On_44,44.0
Note-Duration_10/64,169.0
Position_29/64,222.0
Note-Velocity_23,151.0
Note-On_49,49.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_35/64,228.0
Note-Velocity_20,148.0
Note-On_46,46.0
Note-Duration_4/64,163.0
Position_40/64,233.0
Note-Velocity_23,151.0
Note-On_47,47.0
Note-Duration_2/64,161.0
Position_42/64,235.0
Note-Velocity_23,151.0
Note-On_46,46.0
Note-Duration_12/64,171.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_55/64,248.0
Note-Velocity_21,149.0
Note-On_47,47.0
Note-Duration_8/64,167.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Chord-Tone_D,324.0
Chord-Type_-7,357.0
Chord-Slash_D,336.0
Position_2/64,195.0
Note-Velocity_23,151.0
Note-On_52,52.0
Note-Duration_9/64,168.0
Position_13/64,206.0
Note-Velocity_24,152.0
Note-On_62,62.0
Note-Duration_18/64,177.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Note-Velocity_23,151.0
Note-On_62,62.0
Note-Duration_5/64,164.0
Position_37/64,230.0
Note-Velocity_23,151.0
Note-On_61,61.0
Note-Duration_6/64,165.0
Position_43/64,236.0
Note-Velocity_20,148.0
Note-On_59,59.0
Note-Duration_3/64,162.0
Position_47/64,240.0
Note-Velocity_18,146.0
Note-On_57,57.0
Note-Duration_2/64,161.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Position_50/64,243.0
Note-Velocity_20,148.0
Note-On_52,52.0
Note-Duration_10/64,169.0
Position_61/64,254.0
Note-Velocity_18,146.0
Note-On_49,49.0
Note-Duration_16/64,175.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_13/64,206.0
Note-Velocity_21,149.0
