EVENT,ENCODING
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Chord-Tone_D#,325.0
Chord-Type_79#11#,371.0
Chord-Slash_D#,337.0
Position_11/64,204.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_26,154.0
Note-On_67,67.0
Note-Duration_3/64,162.0
Position_15/64,208.0
Note-Velocity_25,153.0
Note-On_68,68.0
Note-Duration_17/64,176.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_132.50,295.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Position_33/64,226.0
Note-Velocity_26,154.0
Note-On_65,65.0
Note-Duration_11/64,170.0
Position_45/64,238.0
Note-Velocity_23,151.0
Note-On_67,67.0
Note-Duration_3/64,162.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Note-Velocity_25,153.0
Note-On_65,65.0
Note-Duration_3/64,162.0
Position_52/64,245.0
Note-Velocity_25,153.0
Note-On_62,62.0
Note-Duration_22/64,181.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Chord-Tone_D#,325.0
Chord-Type_-7911,359.0
Chord-Slash_D#,337.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Note-Velocity_25,153.0
Note-On_63,63.0
Note-Duration_10/64,169.0
Position_27/64,220.0
Note-Velocity_23,151.0
Note-On_63,63.0
Note-Duration_4/64,163.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Note-Velocity_26,154.0
Note-On_62,62.0
Note-Duration_3/64,162.0
Position_35/64,228.0
Note-Velocity_25,153.0
Note-On_63,63.0
Note-Duration_10/64,169.0
Position_45/64,238.0
Note-Velocity_22,150.0
Note-On_66,66.0
Note-Duration_10/64,169.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Chord-Tone_F,327.0
Chord-Type_7alt,380.0
Chord-Slash_F,339.0
Note-Velocity_22,150.0
Note-On_56,56.0
Note-Duration_4/64,163.0
Position_3/64,196.0
Note-Velocity_26,154.0
Note-On_67,67.0
Note-Duration_3/64,162.0
Position_7/64,200.0
Note-Velocity_24,152.0
Note-On_69,69.0
Note-Duration_6/64,165.0
Position_13/64,206.0
Note-Velocity_26,154.0
Note-On_65,65.0
Note-Duration_8/64,167.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Position_22/64,215.0
Note-Velocity_25,153.0
Note-On_62,62.0
Note-Duration_10/64,169.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_135.00,296.0
Note-Velocity_23,151.0
Note-On_63,63.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_135.00,296.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Chord-Tone_F,327.0
Chord-Type_-7,357.0
Chord-Slash_F,339.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_143.33,299.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Note-Velocity_25,153.0
Note-On_68,68.0
Note-Duration_3/64,162.0
Position_36/64,229.0
Note-Velocity_25,153.0
Note-On_67,67.0
Note-Duration_2/64,161.0
Position_40/64,233.0
Note-Velocity_26,154.0
Note-On_68,68.0
Note-Duration_9/64,168.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_143.33,299.0
Position_50/64,243.0
Note-Velocity_26,154.0
Note-On_70,70.0
Note-Duration_11/64,170.0
Position_62/64,255.0
Note-Velocity_26,154.0
Note-On_71,71.0
Note-Duration_25/64,184.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Chord-Tone_F,327.0
Chord-Type_-7,357.0
Chord-Slash_F,339.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Position_26/64,219.0
Note-Velocity_25,153.0
Note-On_68,68.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_135.00,296.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_135.00,296.0
Position_49/64,242.0
MLU-Type_line,398.0
MLU-Subtype_line-i,409.0
Note-Velocity_26,154.0
Note-On_71,71.0
Note-Duration_4/64,163.0
Position_54/64,247.0
Note-Velocity_27,155.0
