EVENT,ENCODING
Part-Start_I,433.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_4/64,197.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_23,151.0
Note-On_70,70.0
Note-Duration_10/64,169.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_170.00,307.0
Note-Velocity_19,147.0
Note-On_67,67.0
Note-Duration_7/64,166.0
Position_27/64,220.0
Note-Velocity_23,151.0
Note-On_70,70.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_41/64,234.0
Note-Velocity_20,148.0
Note-On_66,66.0
Note-Duration_8/64,167.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_166.67,306.0
Position_50/64,243.0
Note-Velocity_21,149.0
Note-On_67,67.0
Note-Duration_6/64,165.0
Position_58/64,251.0
Note-Velocity_18,146.0
Note-On_58,58.0
Note-Duration_4/64,163.0
Position_62/64,255.0
Note-Velocity_14,142.0
Note-On_60,60.0
Note-Duration_21/64,180.0
Rep-End_1,445.0
Part-End_I,438.0
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Chord-Tone_C#,323.0
Chord-Type_,346.0
Chord-Slash_C#,335.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_27/64,220.0
Note-Velocity_22,150.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_166.67,306.0
Position_34/64,227.0
Note-Velocity_21,149.0
Note-On_66,66.0
Note-Duration_8/64,167.0
Position_43/64,236.0
Note-Velocity_21,149.0
Note-On_65,65.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_166.67,306.0
Position_50/64,243.0
Note-Velocity_18,146.0
Note-On_63,63.0
Note-Duration_8/64,167.0
Position_59/64,252.0
Note-Velocity_22,150.0
Note-On_65,65.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Chord-Tone_F#,328.0
Chord-Type_,346.0
Chord-Slash_F#,340.0
Position_2/64,195.0
Note-Velocity_17,145.0
Note-On_66,66.0
Note-Duration_7/64,166.0
Position_11/64,204.0
Note-Velocity_21,149.0
Note-On_65,65.0
Note-Duration_5/64,164.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Note-Velocity_19,147.0
Note-On_63,63.0
Note-Duration_9/64,168.0
Position_27/64,220.0
Note-Velocity_12,140.0
Note-On_58,58.0
Note-Duration_14/64,173.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_45/64,238.0
Note-Velocity_20,148.0
Note-On_63,63.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Position_61/64,254.0
Note-Velocity_16,144.0
Note-On_60,60.0
Note-Duration_21/64,180.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Chord-Tone_C#,323.0
Chord-Type_,346.0
Chord-Slash_C#,335.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_33/64,226.0
Note-Velocity_22,150.0
Note-On_58,58.0
Note-Duration_8/64,167.0
Position_43/64,236.0
Note-Velocity_12,140.0
Note-On_55,55.0
Note-Duration_16/64,175.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Chord-Tone_F#,328.0
Chord-Type_,346.0
Chord-Slash_F#,340.0
Note-Velocity_22,150.0
Note-On_68,68.0
