EVENT,ENCODING
Part-Start_I,433.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Position_17/64,210.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_29/64,222.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_135.00,296.0
Position_42/64,235.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_9/64,168.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Position_61/64,254.0
Note-Velocity_23,151.0
Note-On_61,61.0
Note-Duration_3/64,162.0
Rep-End_1,445.0
Part-End_I,438.0
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_143.33,299.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Note-Velocity_27,155.0
Note-On_63,63.0
Note-Duration_9/64,168.0
Position_12/64,205.0
Note-Velocity_24,152.0
Note-On_66,66.0
Note-Duration_4/64,163.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Position_17/64,210.0
Note-Velocity_28,156.0
Note-On_68,68.0
Note-Duration_9/64,168.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Note-Velocity_22,150.0
Note-On_71,71.0
Note-Duration_14/64,173.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_137.50,297.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_1/64,194.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Distance_1,418.0
Note-Velocity_24,152.0
Note-On_74,74.0
Note-Duration_8/64,167.0
Position_13/64,206.0
Note-Velocity_25,153.0
Note-On_74,74.0
Note-Duration_8/64,167.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Position_27/64,220.0
Note-Velocity_25,153.0
Note-On_74,74.0
Note-Duration_8/64,167.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_42/64,235.0
Note-Velocity_24,152.0
Note-On_73,73.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_59/64,252.0
Note-Velocity_23,151.0
Note-On_71,71.0
Note-Duration_12/64,171.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_150.00,301.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_140.00,298.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_143.33,299.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_146.67,300.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_43/64,236.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_26,154.0
Note-On_74,74.0
Note-Duration_9/64,168.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_58/64,251.0
Note-Velocity_21,149.0
Note-On_71,71.0
Note-Duration_7/64,166.0
Bar,192.0
