EVENT,ENCODING
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_1,258.0
Tempo_102.50,283.0
Chord-Tone_E,326.0
Chord-Type_+79#,350.0
Chord-Slash_E,338.0
Position_3/64,196.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_24,152.0
Note-On_70,70.0
Note-Duration_3/64,162.0
Position_6/64,199.0
Note-Velocity_23,151.0
Note-On_71,71.0
Note-Duration_20/64,179.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_110.00,286.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_35/64,228.0
Note-Velocity_24,152.0
Note-On_71,71.0
Note-Duration_10/64,169.0
Position_46/64,239.0
Note-Velocity_25,153.0
Note-On_71,71.0
Note-Duration_4/64,163.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_110.00,286.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_48/64,241.0
Tempo-Class_1,258.0
Tempo_110.00,286.0
Position_52/64,245.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Distance_1,418.0
Backref-Variation_+,427.0
Note-Velocity_25,153.0
Note-On_70,70.0
Note-Duration_1/64,160.0
Position_53/64,246.0
Note-Velocity_27,155.0
Note-On_71,71.0
Note-Duration_24/64,183.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_14/64,207.0
Note-Velocity_22,150.0
Note-On_69,69.0
Note-Duration_5/64,164.0
Position_16/64,209.0
Tempo-Class_1,258.0
Tempo_110.00,286.0
Position_32/64,225.0
Tempo-Class_1,258.0
Tempo_107.50,285.0
Position_34/64,227.0
Note-Velocity_21,149.0
Note-On_71,71.0
Note-Duration_20/64,179.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_120.00,290.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_32/64,225.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_32/64,225.0
Tempo-Class_1,258.0
Tempo_105.00,284.0
Position_34/64,227.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_22,150.0
Note-On_79,79.0
Note-Duration_9/64,168.0
Position_44/64,237.0
Note-Velocity_15,143.0
Note-On_76,76.0
Note-Duration_4/64,163.0
Position_48/64,241.0
Tempo-Class_2,259.0
Tempo_112.50,287.0
Position_50/64,243.0
Note-Velocity_23,151.0
Note-On_79,79.0
Note-Duration_10/64,169.0
Position_61/64,254.0
Note-Velocity_19,147.0
Note-On_81,81.0
Note-Duration_4/64,163.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_2,259.0
Tempo_115.00,288.0
Chord-Tone_A,331.0
Chord-Type_79#,370.0
Chord-Slash_A,343.0
Position_7/64,200.0
Note-Velocity_22,150.0
Note-On_79,79.0
Note-Duration_5/64,164.0
Position_16/64,209.0
Tempo-Class_2,259.0
Tempo_117.50,289.0
Note-Velocity_20,148.0
Note-On_74,74.0
Note-Duration_9/64,168.0
Position_26/64,219.0
Note-Velocity_20,148.0
Note-On_72,72.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_2,259.0
